student_id,gender,age,parental_education,study_hours_per_week,attendance_rate,extracurricular,math_score,physics_score,chemistry_score,english_score,computer_score,average_score,passed_all,grade
1,Male,17,Bachelor,14.7,85.4,No,73.1,80.5,,69.9,77.0,75.1,1,B
2,Female,18,Master,6.6,86.2,Yes,72.2,72.4,70.6,70.9,78.1,72.8,1,B
3,Female,17,High School,12.6,95.4,Yes,85.9,82.1,71.9,75.8,89.1,81.0,1,A
4,Female,18,High School,11.9,87.0,No,59.8,55.1,60.8,49.0,61.0,57.1,1,C
5,Male,18,Bachelor,13.6,96.2,Yes,78.2,69.0,76.4,67.6,61.1,70.5,1,B
6,Male,17,Graduate,12.6,100.0,Yes,72.5,80.0,78.0,80.8,87.8,79.8,1,B
7,Male,16,Bachelor,13.9,94.8,No,70.5,,68.0,67.0,78.2,70.9,1,B
8,Female,18,High School,10.4,92.3,No,71.3,59.3,56.7,67.3,77.0,66.3,1,B
9,Female,17,Bachelor,12.3,90.6,Yes,71.6,,65.3,78.2,77.1,73.0,1,B
10,Female,15,Graduate,5.9,94.9,No,,78.6,78.6,76.7,70.0,76.0,1,B
11,Male,17,Master,10.4,88.7,No,56.7,48.7,59.4,56.8,,55.4,1,C
12,Female,15,No Formal,19.0,95.9,No,78.8,76.4,,68.4,84.8,77.1,1,B
13,Female,18,High School,13.6,92.9,Yes,89.7,78.1,72.0,71.6,77.7,77.8,1,B
14,Male,17,High School,11.9,85.1,No,,,,70.3,86.0,78.2,1,B
15,Male,17,Bachelor,21.5,95.2,No,,93.9,94.9,82.4,91.3,90.6,1,A
16,Male,15,Master,5.2,88.7,No,78.8,72.2,82.6,,77.8,77.8,1,B
17,Male,17,High School,6.5,87.2,No,65.8,62.9,,59.7,62.9,62.8,1,C
18,Female,17,High School,20.6,84.2,No,94.7,87.2,88.5,85.9,100.0,91.3,1,A
19,Male,18,Master,12.2,89.3,No,68.8,54.3,64.2,62.3,68.5,63.6,1,C
20,Male,17,High School,10.8,96.0,No,,71.3,61.9,63.2,76.2,68.1,1,B
21,Female,16,Bachelor,,95.1,No,57.9,55.0,62.4,52.1,51.2,55.7,1,C
22,Male,15,Bachelor,14.2,,Yes,90.0,87.4,,75.1,87.8,85.1,1,A
23,Male,17,Bachelor,14.7,92.8,Yes,81.7,74.0,73.3,59.2,74.7,72.6,1,B
24,Male,15,Master,6.5,98.2,No,63.3,55.9,69.4,,78.2,66.7,1,B
25,Male,15,Bachelor,11.3,86.8,No,66.0,66.1,66.8,70.7,77.0,69.3,1,B
